Coenti;Noenti;Cogrupo;Nogrupo
06718     ;MAPFRE SEGURADORA DE CRÉDITO À EXPORTAÇÃO S.A.;     ;
06726     ;RIO BRANCO SEGURADORA S/A.;     ;
06734     ;AIG BRASIL COMPANHIA DE SEGUROS  ( INATIVA);     ;
06742     ;COMPANHIA COLINA DE SEGUROS;     ;
06751     ;SEGUROS SURA S.A.;     ;
06769     ;UBF GARANTIAS & SEGUROS S.A.;     ;
06785     ;BRASILSEG COMPANHIA DE SEGUROS;     ;
06793     ;GENTE SEGURADORA S.A.;     ;
06823     ;LIDERANÇA SEGURADORA S/A;     ;
06831     ;SINAF SEGUROS S.A.;     ;
06840     ;UNIBANCO AIG PREVIDÊNCIA S/A;     ;
06858     ;MAPFRE AFFINITY SEGURADORA S.A.;     ;
06866     ;BRADESCO VIDA E PREVIDÊNCIA S.A.;     ;
06874     ;SANTANDER BRASIL SEGUROS S/A - INATIVA;     ;
06882     ;COMPANHIA GERAL DE SEGUROS;     ;
06904     ;SOMA SEGURADORA S/A;     ;
06912     ;ITAUSEG SEGURADORA S.A.;     ;
06939     ;SEGURADORA SEASUL S.A.;     ;
06947     ;UNIMED SEGURADORA S.A.;     ;
06955     ;COMPANHIA DE SEGUROS GRALHA AZUL;     ;
06971     ;GOLDEN CROSS SEGURADORA  S/A;     ;
06980     ;NOTRE DAME SEGURADORA S.A.;     ;
06998     ;CESCEBRASIL SEGUROS DE GARANTIAS E CRÉDITO S.A.;     ;
07013     ;PARANÁ COMPANHIA DE SEGUROS (INAT);     ;
07048     ;COMPANHIA DE SEGUROS SUL AMERICANA INDUSTRIAL S/A;     ;
07323     ;SÃO PAULO SEGUROS S/A;     ;
07340     ;SEGURADORA AGROBANCO;     ;
07382     ;FIDUCIA-COMPANHIA DE SEGUROS GERAIS;     ;
08001     ;MARÍTIMA SAÚDE SEGUROS S/A;     ;
08028     ;GRALHA AZUL SAÚDE S/A;     ;
08036     ;ITAUSEG SAÚDE S/A;     ;
08044     ;PORTO SEGURO-SEGURO SAÚDE S/A;     ;
08052     ;SALUTAR SEGURADORA S/A;     ;
08141     ;CAIXA VIDA E PREVIDÊNCIA S.A.;     ;
08702     ;SUD AMERICA;     ;
08737     ;AIG SEGUROS BRASIL S.A.;     ;
08826     ;AMAZONAS SEGURADORA S/A;     ;
09938     ;SAFRA VIDA E PREVIDÊNCIA S.A. ;     ;
